id,terjemah,tjclean
[9.48],Sesungguhnya dari dahulu pun mereka telah mencari-cari kekacauan dan mereka mengatur pelbagai macam tipu daya untuk (merusakkan) mu hingga datanglah kebenaran (pertolongan Allah) dan menanglah agama Allah padahal mereka tidak menyukainya.,sesungguhnya mencaricari kekacauan mengatur pelbagai tipu daya merusakkan mu datanglah kebenaran pertolongan allah menanglah agama allah menyukainya
[9.49],Di antara mereka ada orang yang berkata: Berilah saya keizinan (tidak pergi berperang) dan janganlah kamu menjadikan saya terjerumus ke dalam fitnah. Ketahuilah bahwa mereka telah terjerumus ke dalam fitnah. Dan sesungguhnya Jahanam itu benar-benar meliputi orang-orang yang kafir.,orang berilah keizinan pergi berperang menjadikan terjerumus fitnah ketahuilah terjerumus fitnah sesungguhnya jahanam benarbenar meliputi orangorang kafir
[9.50],Jika kamu mendapat sesuatu kebaikan mereka menjadi tidak senang karenanya dan jika kamu ditimpa oleh sesuatu bencana mereka berkata: Sesungguhnya kami sebelumnya telah memperhatikan urusan kami (tidak pergi berperang) dan mereka berpaling dengan rasa gembira.,kebaikan senang ditimpa bencana sesungguhnya memperhatikan urusan pergi berperang berpaling gembira
[9.51],Katakanlah: Sekali-kali tidak akan menimpa kami melainkan apa yang telah ditetapkan oleh Allah bagi kami. Dialah Pelindung kami dan hanyalah kepada Allah orang-orang yang beriman harus bertawakal.,sekalikali menimpa ditetapkan allah pelindung allah orangorang beriman bertawakal
[9.52],Katakanlah: tidak ada yang kamu tunggu-tunggu bagi kami kecuali salah satu dari dua kebaikan. Dan kami menunggu-nunggu bagi kamu bahwa Allah akan menimpakan kepadamu azab (yang besar) dari sisi-Nya atau (azab) dengan tangan kami. Sebab itu tunggulah sesungguhnya kami menunggu-nunggu bersamamu.,tunggutunggu kecuali salah kebaikan menunggununggu allah menimpakan kepadamu azab sisinya azab tangan tunggulah sesungguhnya menunggununggu bersamamu
[9.53],Katakanlah: Nafkahkanlah hartamu baik dengan sukarela atau pun dengan terpaksa namun nafkah itu sekali-kali tidak akan diterima dari kamu. Sesungguhnya kamu adalah orang-orang yang fasik.,nafkahkanlah hartamu sukarela terpaksa nafkah sekalikali diterima sesungguhnya orangorang fasik
[9.54],Dan tidak ada yang menghalangi mereka untuk diterima dari mereka nafkah-nafkahnya melainkan karena mereka kafir kepada Allah dan Rasul-Nya dan mereka tidak mengerjakan sembahyang melainkan dengan malas dan tidak (pula) menafkahkan (harta) mereka melainkan dengan rasa enggan.,menghalangi diterima nafkahnafkahnya kafir allah rasulnya sembahyang malas menafkahkan harta enggan
[9.55],Maka janganlah harta benda dan anak-anak mereka menarik hatimu. Sesungguhnya Allah menghendaki dengan (memberi) harta benda dan anak-anak itu untuk menyiksa mereka dalam kehidupan di dunia dan kelak akan melayang nyawa mereka sedang mereka dalam keadaan kafir.,harta benda anakanak menarik hatimu sesungguhnya allah harta benda anakanak menyiksa kehidupan dunia kelak melayang nyawa kafir
[9.56],Dan mereka (orang-orang munafik) bersumpah dengan (nama) Allah bahwa sesungguhnya mereka termasuk golonganmu padahal mereka bukanlah dari golonganmu akan tetapi mereka adalah orang-orang yang sangat takut (kepadamu).,orangorang munafik bersumpah nama allah sesungguhnya golonganmu golonganmu orangorang takut kepadamu
[9.57],Jikalau mereka memperoleh tempat perlindungan atau gua-gua atau lobang-lobang (dalam tanah) niscaya mereka pergi kepadanya dengan secepat-cepatnya.,memperoleh perlindungan guagua lobanglobang tanah niscaya pergi secepatcepatnya
[9.58],Dan di antara mereka ada orang yang mencelamu tentang (pembagian) zakat jika mereka diberi sebahagian daripadanya mereka bersenang hati dan jika mereka tidak diberi sebahagian daripadanya dengan serta merta mereka menjadi marah.,orang mencelamu pembagian zakat sebahagian daripadanya bersenang hati sebahagian daripadanya merta marah
[9.59],Jika mereka sungguh-sungguh rida dengan apa yang diberikan Allah dan Rasul-Nya kepada mereka dan berkata: Cukuplah Allah bagi kami Allah akan memberikan kepada kami sebahagian dari karunia-Nya dan demikian (pula) Rasul-Nya sesungguhnya kami adalah orang-orang yang berharap kepada Allah (tentulah yang demikian itu lebih baik bagi mereka).,sungguhsungguh rida allah rasulnya allah allah sebahagian karunianya rasulnya sesungguhnya orangorang berharap allah
[9.60],Sesungguhnya zakat-zakat itu hanyalah untuk orang-orang fakir orang-orang miskin pengurus-pengurus zakat para muallaf yang dibujuk hatinya untuk (memerdekakan) budak orang-orang yang berutang untuk jalan Allah dan orang-orang yang sedang dalam perjalanan sebagai sesuatu ketetapan yang diwajibkan Allah dan Allah Maha Mengetahui lagi Maha Bijaksana.,sesungguhnya zakatzakat orangorang fakir orangorang miskin penguruspengurus zakat muallaf dibujuk hatinya memerdekakan budak orangorang berutang jalan allah orangorang perjalanan ketetapan diwajibkan allah allah maha maha bijaksana
[9.61],Di antara mereka (orang-orang munafik) ada yang menyakiti Nabi dan mengatakan: Nabi mempercayai semua apa yang didengarnya. Katakanlah: Ia mempercayai semua yang baik bagi kamu ia beriman kepada Allah mempercayai orang-orang mukmin dan menjadi rahmat bagi orang-orang yang beriman di antara kamu. Dan orang-orang yang menyakiti Rasulullah itu bagi mereka azab yang pedih.,orangorang munafik menyakiti nabi nabi mempercayai didengarnya mempercayai beriman allah mempercayai orangorang mukmin rahmat orangorang beriman orangorang menyakiti rasulullah azab pedih
[9.62],Mereka bersumpah kepada kamu dengan (nama) Allah untuk mencari keridaanmu padahal Allah dan Rasul-Nya itulah yang lebih patut mereka cari keridaannya jika mereka adalah orang-orang yang mukmin.,bersumpah nama allah mencari keridaanmu allah rasulnya patut cari keridaannya orangorang mukmin
[9.63],Tidakkah mereka (orang-orang munafik itu) mengetahui bahwasanya Barang siapa menentang Allah dan Rasul-Nya maka sesungguhnya neraka Jahanamlah baginya dia kekal di dalamnya. Itu adalah kehinaan yang besar.,orangorang munafik barang menentang allah rasulnya sesungguhnya neraka jahanamlah baginya kekal dalamnya kehinaan
[9.64],Orang-orang yang munafik itu takut akan diturunkan terhadap mereka sesuatu surat yang menerangkan apa yang tersembunyi dalam hati mereka. Katakanlah kepada mereka: Teruskanlah ejekan-ejekanmu (terhadap Allah dan Rasul-Nya). Sesungguhnya Allah akan menyatakan apa yang kamu takuti itu.,orangorang munafik takut diturunkan surat menerangkan tersembunyi hati teruskanlah ejekanejekanmu allah rasulnya sesungguhnya allah takuti
[9.65],Dan jika kamu tanyakan kepada mereka (tentang apa yang mereka lakukan itu) tentulah mereka akan menjawab: Sesungguhnya kami hanyalah bersenda gurau dan bermain-main saja. Katakanlah: Apakah dengan Allah ayat-ayat-Nya dan Rasul-Nya kamu selalu berolok-olok?,lakukan sesungguhnya bersenda gurau bermainmain allah ayatayatnya rasulnya berolokolok
[9.66],Tidak usah kamu minta maaf karena kamu kafir sesudah beriman. Jika Kami memaafkan segolongan daripada kamu (lantaran mereka tobat) niscaya Kami akan mengazab golongan (yang lain) disebabkan mereka adalah orang-orang yang selalu berbuat dosa.,maaf kafir beriman memaafkan segolongan lantaran tobat niscaya mengazab golongan disebabkan orangorang berbuat dosa
[9.67],Orang-orang munafik laki-laki dan perempuan sebagian dengan sebagian yang lain adalah sama mereka menyuruh membuat yang mungkar dan melarang berbuat yang makruf dan mereka menggenggamkan tangannya. Mereka telah lupa kepada Allah maka Allah melupakan mereka. Sesungguhnya orang-orang munafik itulah orang-orang yang fasik.,orangorang munafik lakilaki perempuan menyuruh mungkar melarang berbuat makruf menggenggamkan tangannya lupa allah allah melupakan sesungguhnya orangorang munafik orangorang fasik
[9.68],Allah mengancam orang-orang munafik laki-laki dan perempuan dan orang-orang kafir dengan neraka Jahanam. Mereka kekal di dalamnya. Cukuplah neraka itu bagi mereka dan Allah melaknati mereka dan bagi mereka azab yang kekal,allah mengancam orangorang munafik lakilaki perempuan orangorang kafir neraka jahanam kekal dalamnya neraka allah melaknati azab kekal
[9.69],(keadaan kamu hai orang-orang munafik dan musyrikin adalah) seperti keadaan orang-orang yang sebelum kamu mereka lebih kuat daripada kamu dan lebih banyak harta benda dan anak-anaknya daripada kamu. Maka mereka telah meni'mati bagian mereka dan kamu telah menikmati bagianmu sebagaimana orang-orang yang sebelummu meni'mati bagiannya dan kamu mempercakapkan (hal yang batil) sebagaimana mereka mempercakapkannya. Mereka itu amalannya menjadi sia-sia di dunia dan di akhirat dan mereka itulah orang-orang yang merugi.,hai orangorang munafik musyrikin orangorang kuat harta benda anakanaknya menimati menikmati bagianmu orangorang sebelummu menimati bagiannya mempercakapkan batil mempercakapkannya amalannya siasia dunia akhirat orangorang merugi
[9.70],Belumkah datang kepada mereka berita penting tentang orang-orang yang sebelum mereka (yaitu) kaum Nuh 'Aad Tsamud kaum Ibrahim penduduk Madyan dan (penduduk) negeri-negeri yang telah musnah? Telah datang kepada mereka rasul-rasul dengan membawa keterangan yang nyata maka Allah tidaklah sekali-kali menganiaya mereka akan tetapi merekalah yang menganiaya diri mereka sendiri.,belumkah berita orangorang kaum nuh aad tsamud kaum ibrahim penduduk madyan penduduk negerinegeri musnah rasulrasul membawa keterangan nyata allah sekalikali menganiaya menganiaya
[9.71],Dan orang-orang yang beriman lelaki dan perempuan sebahagian mereka (adalah) menjadi penolong bagi sebahagian yang lain. Mereka menyuruh (mengerjakan) yang makruf mencegah dari yang mungkar mendirikan sembahyang menunaikan zakat dan mereka taat kepada Allah dan Rasul-Nya. Mereka itu akan diberi rahmat oleh Allah sesungguhnya Allah Maha Perkasa lagi Maha Bijaksana.,orangorang beriman lelaki perempuan sebahagian penolong sebahagian menyuruh makruf mencegah mungkar mendirikan sembahyang menunaikan zakat taat allah rasulnya rahmat allah sesungguhnya allah maha perkasa maha bijaksana
[9.72],Allah menjanjikan kepada orang-orang yang mukmin lelaki dan perempuan (akan mendapat) surga yang di bawahnya mengalir sungai-sungai kekal mereka di dalamnya dan (mendapat) tempat-tempat yang bagus di surga Adn. Dan keridaan Allah adalah lebih besar itu adalah keberuntungan yang besar.,allah menjanjikan orangorang mukmin lelaki perempuan surga bawahnya mengalir sungaisungai kekal dalamnya tempattempat bagus surga adn keridaan allah keberuntungan
[9.73],Hai Nabi berjihadlah (melawan) orang-orang kafir dan orang-orang munafik itu dan bersikap keraslah terhadap mereka. Tempat mereka ialah neraka Jahanam. Dan itulah tempat kembali yang seburuk-buruknya.,hai nabi berjihadlah melawan orangorang kafir orangorang munafik bersikap keraslah neraka jahanam seburukburuknya
[9.74],Mereka (orang-orang munafik itu) bersumpah dengan (nama) Allah bahwa mereka tidak mengatakan (sesuatu yang menyakitimu). Sesungguhnya mereka telah mengucapkan perkataan kekafiran dan telah menjadi kafir sesudah Islam dan mengingini apa yang mereka tidak dapat mencapainya dan mereka tidak mencela (Allah dan Rasul-Nya) kecuali karena Allah dan Rasul-Nya telah melimpahkan karunia-Nya kepada mereka. Maka jika mereka bertobat itu adalah lebih baik bagi mereka dan jika mereka berpaling niscaya Allah akan mengazab mereka dengan azab yang pedih di dunia dan di akhirat dan mereka sekali-kali tidak mempunyai pelindung dan tidak (pula) penolong di muka bumi.,orangorang munafik bersumpah nama allah menyakitimu sesungguhnya perkataan kekafiran kafir islam mengingini mencapainya mencela allah rasulnya kecuali allah rasulnya melimpahkan karunianya bertobat berpaling niscaya allah mengazab azab pedih dunia akhirat sekalikali pelindung penolong muka bumi
[9.75],Dan di antara mereka ada orang yang telah berikrar kepada Allah: Sesungguhnya jika Allah memberikan sebahagian karunia-Nya kepada kami pastilah kami akan bersedekah dan pastilah kami termasuk orang-orang yang saleh.,orang berikrar allah sesungguhnya allah sebahagian karunianya bersedekah orangorang saleh
[9.76],Maka setelah Allah memberikan kepada mereka sebahagian dari karunia-Nya mereka kikir dengan karunia itu dan berpaling dan mereka memanglah orang-orang yang selalu membelakangi (kebenaran).,allah sebahagian karunianya kikir karunia berpaling memanglah orangorang membelakangi kebenaran
[9.77],Maka Allah menimbulkan kemunafikan pada hati mereka sampai kepada waktu mereka menemui Allah karena mereka telah memungkiri terhadap Allah apa yang telah mereka ikrarkan kepada-Nya dan (juga) karena mereka selalu berdusta.,allah menimbulkan kemunafikan hati menemui allah memungkiri allah ikrarkan berdusta
[9.78],Tidakkah mereka tahu bahwasanya Allah mengetahui rahasia dan bisikan mereka dan bahwasanya Allah amat mengetahui segala yang gaib?,allah rahasia bisikan allah gaib
[9.79],(Orang-orang munafik) yaitu orang-orang yang mencela orang-orang mukmin yang memberi sedekah dengan sukarela dan (mencela) orang-orang yang tidak memperoleh (untuk disedekahkan) selain sekedar kesanggupannya maka orang-orang munafik itu menghina mereka. Allah akan membalas penghinaan mereka itu dan untuk mereka azab yang pedih.,orangorang munafik orangorang mencela orangorang mukmin sedekah sukarela mencela orangorang memperoleh disedekahkan sekedar kesanggupannya orangorang munafik menghina allah membalas penghinaan azab pedih
[9.80],Kamu memohonkan ampun bagi mereka atau tidak kamu mohonkan ampun bagi mereka (adalah sama saja). Kendati pun kamu memohonkan ampun bagi mereka tujuh puluh kali namun Allah sekali-kali tidak akan memberi ampun kepada mereka. Yang demikian itu adalah karena mereka kafir kepada Allah dan Rasul-Nya. Dan Allah tidak memberi petunjuk kepada kaum yang fasik.,memohonkan ampun mohonkan ampun kendati memohonkan ampun tujuh puluh kali allah sekalikali ampun kafir allah rasulnya allah petunjuk kaum fasik
[9.81],Orang-orang yang ditinggalkan (tidak ikut berperang) itu merasa gembira dengan tinggalnya mereka di belakang Rasulullah dan mereka tidak suka berjihad dengan harta dan jiwa mereka pada jalan Allah dan mereka berkata: Janganlah kamu berangkat (pergi berperang) dalam panas terik ini. Katakanlah: Api neraka Jahanam itu lebih sangat panas (nya) jika mereka mengetahui.,orangorang ditinggalkan berperang gembira tinggalnya rasulullah suka berjihad harta jiwa jalan allah berangkat pergi berperang panas terik api neraka jahanam panas nya
[9.82],Maka hendaklah mereka tertawa sedikit dan menangis banyak sebagai pembalasan dari apa yang selalu mereka kerjakan.,tertawa menangis pembalasan kerjakan
[9.83],Maka jika Allah mengembalikanmu kepada satu golongan dari mereka kemudian mereka minta izin kepadamu untuk ke luar (pergi berperang) maka katakanlah: Kamu tidak boleh ke luar bersamaku selama-lamanya dan tidak boleh memerangi musuh bersamaku. Sesungguhnya kamu telah rela tidak pergi berperang kali yang pertama. Karena itu duduklah (tinggallah) bersama orang-orang yang tidak ikut berperang,allah mengembalikanmu golongan izin kepadamu pergi berperang bersamaku selamalamanya memerangi musuh bersamaku sesungguhnya rela pergi berperang kali duduklah tinggallah orangorang berperang
[9.84],Dan janganlah kamu sekali-kali menyembahyangkan (jenazah) seorang yang mati di antara mereka dan janganlah kamu berdiri (mendoakan) di kuburnya. Sesungguhnya mereka telah kafir kepada Allah dan Rasul-Nya dan mereka mati dalam keadaan fasik.,sekalikali menyembahyangkan jenazah mati berdiri mendoakan kuburnya sesungguhnya kafir allah rasulnya mati fasik
[9.85],Dan janganlah harta benda dan anak-anak mereka menarik hatimu. Sesungguhnya Allah menghendaki akan mengazab mereka di dunia dengan harta dan anak-anak itu dan agar melayang nyawa mereka dalam keadaan kafir.,harta benda anakanak menarik hatimu sesungguhnya allah mengazab dunia harta anakanak melayang nyawa kafir
[9.86],Dan apabila diturunkan sesuatu surat (yang memerintahkan kepada orang munafik itu): Berimanlah kamu kepada Allah dan berjihadlah beserta Rasul-Nya niscaya orang-orang yang sanggup di antara mereka meminta izin kepadamu (untuk tidak berjihad) dan mereka berkata: Biarkanlah kami berada bersama orang-orang yang duduk.,diturunkan surat memerintahkan orang munafik berimanlah allah berjihadlah beserta rasulnya niscaya orangorang sanggup izin kepadamu berjihad biarkanlah orangorang duduk
[9.87],Mereka rela berada bersama orang-orang yang tidak pergi berperang dan hati mereka telah dikunci mati maka mereka tidak mengetahui (kebahagiaan beriman dan berjihad).,rela orangorang pergi berperang hati dikunci mati kebahagiaan beriman berjihad
[9.88],Tetapi Rasul dan orang-orang yang beriman bersama dia mereka berjihad dengan harta dan diri mereka. Dan mereka itulah orang-orang yang memperoleh kebaikan dan mereka itulah (pula) orang-orang yang beruntung.,rasul orangorang beriman berjihad harta orangorang memperoleh kebaikan orangorang beruntung
[9.89],Allah telah menyediakan bagi mereka surga yang mengalir di bawahnya sungai-sungai mereka kekal di dalamnya. Itulah kemenangan yang besar.,allah menyediakan surga mengalir bawahnya sungaisungai kekal dalamnya kemenangan
[9.90],Dan datang (kepada Nabi) orang-orang yang mengemukakan 'uzur yaitu orang-orang Arab Badui agar diberi izin bagi mereka (untuk tidak pergi berjihad) sedang orang-orang yang mendustakan Allah dan Rasul-Nya duduk berdiam diri saja. Kelak orang-orang yang kafir di antara mereka itu akan ditimpa azab yang pedih.,nabi orangorang mengemukakan uzur orangorang arab badui izin pergi berjihad orangorang mendustakan allah rasulnya duduk berdiam kelak orangorang kafir ditimpa azab pedih
[9.91],Tiada dosa (lantaran tidak pergi berjihad) atas orang-orang yang lemah atas orang-orang yang sakit dan atas orang-orang yang tidak memperoleh apa yang akan mereka nafkahkan apabila mereka berlaku ikhlas kepada Allah dan Rasul-Nya. Tidak ada jalan sedikit pun untuk menyalahkan orang-orang yang berbuat baik. Dan Allah Maha Pengampun lagi Maha Penyayang,tiada dosa lantaran pergi berjihad orangorang lemah orangorang sakit orangorang memperoleh nafkahkan berlaku ikhlas allah rasulnya jalan menyalahkan orangorang berbuat allah maha pengampun maha penyayang
[9.92],dan tiada (pula dosa) atas orang-orang yang apabila mereka datang kepadamu supaya kamu memberi mereka kendaraan lalu kamu berkata: Aku tidak memperoleh kendaraan untuk membawamu lalu mereka kembali sedang mata mereka bercucuran air mata karena kesedihan lantaran mereka tidak memperoleh apa yang akan mereka nafkahkan.,tiada dosa orangorang kepadamu kendaraan memperoleh kendaraan membawamu mata bercucuran air mata kesedihan lantaran memperoleh nafkahkan
[9.93],Sesungguhnya jalan (untuk menyalahkan) hanyalah terhadap orang-orang yang meminta izin kepadamu padahal mereka itu orang-orang kaya. Mereka rela berada bersama-sama orang-orang yang tidak ikut berperang dan Allah telah mengunci mati hati mereka maka mereka tidak mengetahui (akibat perbuatan mereka).11,sesungguhnya jalan menyalahkan orangorang izin kepadamu orangorang kaya rela bersamasama orangorang berperang allah mengunci mati hati akibat perbuatan mereka11
[9.94],Mereka (orang-orang munafik) mengemukakan uzurnya kepadamu apabila kamu telah kembali kepada mereka (dari medan perang). Katakanlah: Janganlah kamu mengemukakan 'uzur kami tidak percaya lagi kepadamu (karena) sesungguhnya Allah telah memberitahukan kepada kami beritamu yang sebenarnya. Dan Allah serta Rasul-Nya akan melihat pekerjaanmu kemudian kamu dikembalikan kepada Yang Mengetahui yang gaib dan yang nyata lalu Dia memberitakan kepadamu apa yang telah kamu kerjakan.,orangorang munafik mengemukakan uzurnya kepadamu medan perang mengemukakan uzur percaya kepadamu sesungguhnya allah memberitahukan beritamu allah rasulnya pekerjaanmu dikembalikan gaib nyata memberitakan kepadamu kerjakan
[9.95],Kelak mereka akan bersumpah kepadamu dengan nama Allah apabila kamu kembali kepada mereka supaya kamu berpaling dari mereka. Maka berpalinglah dari mereka karena sesungguhnya mereka itu adalah najis dan tempat mereka Jahanam sebagai balasan atas apa yang telah mereka kerjakan.,kelak bersumpah kepadamu nama allah berpaling berpalinglah sesungguhnya najis jahanam balasan kerjakan
[9.96],Mereka akan bersumpah kepadamu agar kamu rida kepada mereka. Tetapi jika sekiranya kamu rida kepada mereka maka sesungguhnya Allah tidak rida kepada orang-orang yang fasik itu.,bersumpah kepadamu rida rida sesungguhnya allah rida orangorang fasik
[9.97],Orang-orang Arab Badui itu lebih sangat kekafiran dan kemunafikannya dan lebih wajar tidak mengetahui hukum-hukum yang diturunkan Allah kepada Rasul-Nya. Dan Allah Maha Mengetahui lagi Maha Bijaksana.,orangorang arab badui kekafiran kemunafikannya wajar hukumhukum diturunkan allah rasulnya allah maha maha bijaksana
[9.98],Di antara orang-orang Arab Badui itu ada orang yang memandang apa yang dinafkahkannya (di jalan Allah) sebagai suatu kerugian dan dia menanti-nanti marabahaya menimpamu merekalah yang akan ditimpa marabahaya. Dan Allah Maha Mendengar lagi Maha Mengetahui.,orangorang arab badui orang memandang dinafkahkannya jalan allah kerugian menantinanti marabahaya menimpamu ditimpa marabahaya allah maha mendengar maha
[9.99],Dan di antara orang-orang Arab Badui itu ada orang yang beriman kepada Allah dan hari kemudian dan memandang apa yang dinafkahkannya (di jalan Allah) itu sebagai jalan mendekatkannya kepada Allah dan sebagai jalan untuk memperoleh doa Rasul. Ketahuilah sesungguhnya nafkah itu adalah suatu jalan bagi mereka untuk mendekatkan diri (kepada Allah). Kelak Allah akan memasukkan mereka ke dalam rahmat (surga) Nya sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.,orangorang arab badui orang beriman allah memandang dinafkahkannya jalan allah jalan mendekatkannya allah jalan memperoleh doa rasul ketahuilah sesungguhnya nafkah jalan mendekatkan allah kelak allah memasukkan rahmat surga nya sesungguhnya allah maha pengampun maha penyayang
[9.100],Orang-orang yang terdahulu lagi yang pertama-tama (masuk Islam) di antara orang-orang muhajirin dan Ansar dan orang-orang yang mengikuti mereka dengan baik Allah rida kepada mereka dan mereka pun rida kepada Allah dan Allah menyediakan bagi mereka surga-surga yang mengalir sungai-sungai di dalamnya mereka kekal di dalamnya selama-lamanya. Itulah kemenangan yang besar.,orangorang pertamatama masuk islam orangorang muhajirin ansar orangorang mengikuti allah rida rida allah allah menyediakan surgasurga mengalir sungaisungai dalamnya kekal dalamnya selamalamanya kemenangan
[9.101],Di antara orang-orang Arab Badui yang di sekelilingmu itu ada orang-orang munafik dan (juga) di antara penduduk Madinah. Mereka keterlaluan dalam kemunafikannya. Kamu (Muhammad) tidak mengetahui mereka (tetapi) Kami-lah yang mengetahui mereka. Nanti mereka akan Kami siksa dua kali kemudian mereka akan dikembalikan kepada azab yang besar.,orangorang arab badui sekelilingmu orangorang munafik penduduk madinah kemunafikannya muhammad siksa kali dikembalikan azab
[9.102],Dan (ada pula) orang-orang lain yang mengakui dosa-dosa mereka mereka mencampur baurkan pekerjaan yang baik dengan pekerjaan lain yang buruk. Mudah-mudahan Allah menerima tobat mereka. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.,orangorang mengakui dosadosa mencampur baurkan pekerjaan pekerjaan buruk mudahmudahan allah menerima tobat sesungguhnya allah maha pengampun maha penyayang
[9.103],Ambillah zakat dari sebagian harta mereka dengan zakat itu kamu membersihkan dan mensucikan mereka dan mendoalah untuk mereka. Sesungguhnya doa kamu itu (menjadi) ketenteraman jiwa bagi mereka. Dan Allah Maha Mendengar lagi Maha Mengetahui.,ambillah zakat harta zakat membersihkan mensucikan mendoalah sesungguhnya doa ketenteraman jiwa allah maha mendengar maha
[9.104],Tidakkah mereka mengetahui bahwasanya Allah menerima tobat dari hamba-hamba-Nya dan menerima zakat dan bahwasanya Allah Maha Penerima tobat lagi Maha Penyayang?,allah menerima tobat hambahambanya menerima zakat allah maha penerima tobat maha penyayang
[9.105],Dan katakanlah: Bekerjalah kamu maka Allah dan Rasul-Nya serta orang-orang mukmin akan melihat pekerjaanmu itu dan kamu akan dikembalikan kepada (Allah) Yang Mengetahui akan yang gaib dan yang nyata lalu diberitakan-Nya kepada kamu apa yang telah kamu kerjakan.,bekerjalah allah rasulnya orangorang mukmin pekerjaanmu dikembalikan allah gaib nyata diberitakannya kerjakan
[9.106],Dan ada (pula) orang-orang lain yang ditangguhkan sampai ada keputusan Allah adakalanya Allah akan mengazab mereka dan adakalanya Allah akan menerima tobat mereka. Dan Allah Maha Mengetahui lagi Maha Bijaksana.,orangorang ditangguhkan keputusan allah adakalanya allah mengazab adakalanya allah menerima tobat allah maha maha bijaksana
[9.107],Dan (di antara orang-orang munafik itu) ada orang-orang yang mendirikan mesjid untuk menimbulkan kemudaratan (pada orang-orang mukmin) untuk kekafiran dan untuk memecah belah antara orang-orang mukmin serta menunggu kedatangan orang-orang yang telah memerangi Allah dan Rasul-Nya sejak dahulu. Mereka sesungguhnya bersumpah: Kami tidak menghendaki selain kebaikan. Dan Allah menjadi saksi bahwa sesungguhnya mereka itu adalah pendusta (dalam sumpahnya).,orangorang munafik orangorang mendirikan mesjid menimbulkan kemudaratan orangorang mukmin kekafiran memecah belah orangorang mukmin menunggu kedatangan orangorang memerangi allah rasulnya sesungguhnya bersumpah kebaikan allah saksi sesungguhnya pendusta sumpahnya
[9.108],Janganlah kamu bersembahyang dalam mesjid itu selama-lamanya. Sesungguhnya mesjid yang didirikan atas dasar takwa (mesjid Quba) sejak hari pertama adalah lebih patut kamu bersembahyang di dalamnya. Di dalamnya ada orang-orang yang ingin membersihkan diri. Dan Allah menyukai orang-orang yang bersih.,bersembahyang mesjid selamalamanya sesungguhnya mesjid didirikan dasar takwa mesjid quba patut bersembahyang dalamnya dalamnya orangorang membersihkan allah menyukai orangorang bersih
[9.109],Maka apakah orang-orang yang mendirikan mesjidnya di atas dasar takwa kepada Allah dan keridaan (Nya) itu yang baik ataukah orang-orang yang mendirikan bangunannya di tepi jurang yang runtuh lalu bangunannya itu jatuh bersama-sama dengan dia ke dalam neraka Jahanam? Dan Allah tidak memberikan petunjuk kepada orang-orang yang lalim.,orangorang mendirikan mesjidnya dasar takwa allah keridaan nya orangorang mendirikan bangunannya tepi jurang runtuh bangunannya jatuh bersamasama neraka jahanam allah petunjuk orangorang lalim
[9.110],Bangunan-bangunan yang mereka dirikan itu senantiasa menjadi pangkal keraguan dalam hati mereka kecuali bila hati mereka itu telah hancur. Dan Allah Maha Mengetahui lagi Maha Bijaksana.,bangunanbangunan dirikan senantiasa pangkal keraguan hati kecuali hati hancur allah maha maha bijaksana
[9.111],Sesungguhnya Allah telah membeli dari orang-orang mukmin diri dan harta mereka dengan memberikan surga untuk mereka. Mereka berperang pada jalan Allah lalu mereka membunuh atau terbunuh. (Itu telah menjadi) janji yang benar dari Allah di dalam Taurat Injil dan Al Qur'an. Dan siapakah yang lebih menepati janjinya (selain) daripada Allah? Maka bergembiralah dengan jual beli yang telah kamu lakukan itu dan itulah kemenangan yang besar.,sesungguhnya allah membeli orangorang mukmin harta surga berperang jalan allah membunuh terbunuh janji allah taurat injil al quran menepati janjinya allah bergembiralah jual beli lakukan kemenangan
[9.112],Mereka itu adalah orang-orang yang bertobat yang beribadah yang memuji (Allah) yang melawat yang rukuk yang sujud yang menyuruh berbuat makruf dan mencegah berbuat mungkar dan yang memelihara hukum-hukum Allah. Dan gembirakanlah orang-orang mukmin itu.,orangorang bertobat beribadah memuji allah melawat rukuk sujud menyuruh berbuat makruf mencegah berbuat mungkar memelihara hukumhukum allah gembirakanlah orangorang mukmin
[9.113],Tiadalah sepatutnya bagi Nabi dan orang-orang yang beriman memintakan ampun (kepada Allah) bagi orang-orang musyrik walaupun orang-orang musyrik itu adalah kaum kerabat (nya) sesudah jelas bagi mereka bahwasanya orang-orang musyrik itu adalah penghuni neraka Jahanam.,tiadalah sepatutnya nabi orangorang beriman ampun allah orangorang musyrik orangorang musyrik kaum kerabat nya orangorang musyrik penghuni neraka jahanam
[9.114],Dan permintaan ampun dari Ibrahim (kepada Allah) untuk bapaknya tidak lain hanyalah karena suatu janji yang telah diikrarkannya kepada bapaknya itu. Maka tatkala jelas bagi Ibrahim bahwa bapaknya itu adalah musuh Allah maka Ibrahim berlepas diri daripadanya. Sesungguhnya Ibrahim adalah seorang yang sangat lembut hatinya lagi penyantun.,permintaan ampun ibrahim allah bapaknya janji diikrarkannya bapaknya tatkala ibrahim bapaknya musuh allah ibrahim berlepas daripadanya sesungguhnya ibrahim lembut hatinya penyantun
